,FECHA - HORA (UTC) día-mes-año hora:min:seg,LAT grados,LON grados,MAG explicado abajo,PROF km,LOCALIDAD haga clic para ver mapa
0,25-MAY-2023 16:34:02,-59.59,-26.35,5.1,94,ISLAS SUR DE SANDWICH REGIÓN
1,25-MAY-2023 16:11:38,-49.57,116.17,4.6,10,EL OESTE DE INDIAN RIDGE-ANTÁRTICO
2,25-MAY-2023 15:26:23,12.17,123.85,4.8,10,"LUZON, FILIPINAS"
3,25-MAY-2023 15:02:06,38.07,38.54,4.0,10,TURQUÍA
4,25-MAY-2023 13:48:28,21.1,122.07,5.2,10,REGIóN DE TAIWáN
5,25-MAY-2023 12:21:07,-7.95,123.17,5.1,10,MAR BANDA
6,25-MAY-2023 10:39:37,-23.23,170.8,5.5,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
7,25-MAY-2023 09:02:01,8.93,-77.11,4.5,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
8,25-MAY-2023 08:47:20,8.79,-77.17,4.4,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
9,25-MAY-2023 07:35:13,8.9,-77.11,4.5,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
10,25-MAY-2023 07:21:31,35.67,35.64,4.1,10,JORDANIA - SIRIA REGIÓN
11,25-MAY-2023 06:48:30,8.92,-77.1,4.6,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
12,25-MAY-2023 03:14:57,8.9,-77.12,4.9,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
13,25-MAY-2023 03:05:33,8.89,-77.12,6.6,10,PANAMÁ-COLOMBIA REGIÓN FRONTERIZA
14,25-MAY-2023 02:56:49,-18.17,-179.11,5.0,604,ISLAS FIJI REGIÓN
15,25-MAY-2023 00:35:12,10.96,-62.54,4.6,108,CERCA DE COSTA DE VENEZUELA
16,25-MAY-2023 00:15:31,42.07,142.58,4.5,69,"HOKKAIDO, JAPAN REGION"
17,25-MAY-2023 00:03:08,-24.27,-67.34,4.3,207,CHILE-ARGENTINA FRONTERA REGIÓN
18,24-MAY-2023 23:55:40,17.56,122.28,4.5,10,"LUZON, FILIPINAS"
19,24-MAY-2023 22:23:22,-23.36,171.07,5.0,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
20,24-MAY-2023 21:35:54,-4.73,131.3,4.4,59,MAR BANDA
21,24-MAY-2023 19:57:24,-9.36,114.93,4.6,81,"SUR DE BALI, INDONESIA"
22,24-MAY-2023 18:28:55,-38.37,-75.44,4.6,18,CERCA DE LA COSTA CENTRAL DE CHILE
23,24-MAY-2023 15:49:34,-6.98,129.53,6.2,166,MAR BANDA
24,24-MAY-2023 15:17:48,-31.86,-66.56,4.6,132,"LA PROVINCIA DE LA RIOJA, ARGENTINA"
25,24-MAY-2023 13:33:34,30.63,129.64,4.2,223,"KYUSHU, JAPóN,"
26,24-MAY-2023 13:15:06,-4.66,153.12,5.0,57,"REGIÓN NUEVA IRLANDA, PNG"
27,24-MAY-2023 10:33:19,-56.87,-140.85,5.5,10,PACIFICO-ANTARTICO RIDGE
28,24-MAY-2023 08:55:57,6.07,126.33,4.6,99,"MINDANAO, FILIPINAS"
29,24-MAY-2023 08:30:22,-18.09,168.06,4.4,35,ISLAS VANUATU
30,24-MAY-2023 04:07:43,-0.82,98.47,4.4,19,"SOUTHERN SUMATRA, INDONESIA"
31,24-MAY-2023 03:42:57,-19.79,-69.31,4.2,108,EN EL NORTE DE CHILE
32,24-MAY-2023 03:18:06,36.37,71.19,4.0,148,AFGANISTÁN-TAYIKISTÁN FRONT. REGIÓN
33,24-MAY-2023 03:14:28,-31.65,-70.14,4.2,114,CHILE-ARGENTINA FRONTERA REGIÓN
34,24-MAY-2023 03:13:40,-6.73,129.66,4.4,152,MAR BANDA
35,24-MAY-2023 01:48:26,-40.92,42.73,4.8,10,SUROESTE INDIAN RIDGE
36,24-MAY-2023 00:44:06,5.69,124.38,5.2,10,"MINDANAO, FILIPINAS"
37,23-MAY-2023 23:48:15,-24.41,-179.58,4.8,441,AL SUR DE LAS ISLAS FIJI
38,23-MAY-2023 23:18:19,-36.78,-73.73,4.2,18,CERCA LA COSTA CENTRAL DE CHILE
39,23-MAY-2023 22:57:32,-36.8,-73.74,4.5,17,CERCA LA COSTA CENTRAL DE CHILE
40,23-MAY-2023 22:21:49,29.7,81.24,4.3,10,NEPAL
41,23-MAY-2023 21:12:04,-7.58,119.28,4.3,281,FLORES DEL MAR
42,23-MAY-2023 21:01:58,-29.6,-71.6,4.3,35,CERCA LA COSTA CENTRAL DE CHILE
43,23-MAY-2023 18:23:04,5.72,124.49,4.8,64,"MINDANAO, FILIPINAS"
44,23-MAY-2023 17:11:56,5.8,124.55,4.5,76,"MINDANAO, FILIPINAS"
45,23-MAY-2023 17:04:01,5.76,124.54,4.9,78,"MINDANAO, FILIPINAS"
46,23-MAY-2023 16:18:39,-60.3,-25.44,4.6,10,ISLAS SUR DE SANDWICH REGIÓN
47,23-MAY-2023 15:18:02,41.6,82.33,4.5,10,"SUR DE XINJIANG, CHINA"
48,23-MAY-2023 15:04:55,3.11,126.75,5.1,46,"TALAUD ISLAS, INDONESIA"
49,23-MAY-2023 14:42:55,41.73,82.39,4.7,10,"SUR DE XINJIANG, CHINA"
50,23-MAY-2023 13:06:42,-22.92,170.22,4.8,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
51,23-MAY-2023 13:00:37,-3.83,151.55,5.0,10,"REGIÓN NUEVA IRLANDA, PNG"
52,23-MAY-2023 11:49:56,-22.6,171.06,4.8,43,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
53,23-MAY-2023 10:51:39,-20.12,-176.23,4.5,218,ISLAS FIJI REGIÓN
54,23-MAY-2023 10:20:36,-23.09,170.41,4.6,37,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
55,23-MAY-2023 09:26:43,-22.86,170.84,5.0,43,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
56,23-MAY-2023 06:41:58,-23.0,170.29,6.1,12,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
57,23-MAY-2023 06:22:14,-23.25,170.62,5.1,33,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
58,23-MAY-2023 03:17:06,36.44,22.12,4.2,52,EL SUR DE GRECIA
59,23-MAY-2023 03:09:47,14.34,-93.98,4.3,10,"CERCA LA COSTA DE CHIAPAS, MÉXICO"
60,23-MAY-2023 02:38:23,-24.11,-179.84,4.5,515,AL SUR DE LAS ISLAS FIJI
61,23-MAY-2023 01:12:47,37.94,36.33,4.0,10,TURQUÍA
62,23-MAY-2023 00:56:36,19.19,-69.95,4.4,15,REPÚBLICA DOMINICANA REGIÓN
63,23-MAY-2023 00:52:43,-23.0,170.97,4.9,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
64,22-MAY-2023 23:11:41,25.36,123.99,4.2,173,NORESTE DE TAIWÁN
65,22-MAY-2023 22:59:56,-23.31,170.61,4.9,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
66,22-MAY-2023 22:54:13,-22.64,169.85,5.1,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
67,22-MAY-2023 22:02:39,11.65,125.68,4.6,10,"SAMAR, FILIPINAS"
68,22-MAY-2023 21:50:01,3.08,126.73,4.5,35,"TALAUD ISLAS, INDONESIA"
69,22-MAY-2023 21:45:56,-22.88,170.43,5.0,10,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
70,22-MAY-2023 18:06:38,53.15,153.43,4.3,498,MAR OJOTSK
71,22-MAY-2023 17:46:42,46.07,21.4,4.2,11,RUMANIA
72,22-MAY-2023 17:36:59,37.49,47.61,4.5,10,EL NOROESTE DE IRáN
73,22-MAY-2023 17:14:15,4.38,-76.26,4.5,122,COLOMBIA
74,22-MAY-2023 16:59:01,-6.67,129.39,4.3,10,MAR BANDA
75,22-MAY-2023 16:42:58,37.89,36.25,4.3,10,TURQUÍA
76,22-MAY-2023 16:06:58,37.93,36.28,4.4,5,TURQUÍA
77,22-MAY-2023 15:48:59,-3.33,139.78,4.5,46,"IRIAN JAYA, INDONESIA"
78,22-MAY-2023 13:36:13,-7.67,158.14,5.3,10,ISLAS SALOMÓN
79,22-MAY-2023 13:30:38,-15.74,-173.57,5.1,39,ISLAS TONGA
80,22-MAY-2023 10:46:26,34.35,139.2,4.9,9,"CERCA LA COSTA DE S. HONSHU, JAPóN"
81,22-MAY-2023 08:58:03,19.68,-65.74,4.12,12,REGIÓN DE PUERTO RICO
82,22-MAY-2023 08:27:15,3.07,-84.28,4.4,10,FRENTE A LA COSTA DE CENTROAMÉRICA
83,22-MAY-2023 07:51:11,-17.19,-64.12,4.8,613,CENTRAL DE BOLIVIA
84,22-MAY-2023 07:42:40,34.43,139.3,5.1,10,"CERCA LA COSTA DE S. HONSHU, JAPóN"
85,22-MAY-2023 06:52:47,-23.75,171.68,5.5,30,AL SURESTE DE LAS ISLAS DE LEALTAD (LOYALTY)
86,22-MAY-2023 05:43:27,36.37,71.17,4.9,100,AFGANISTÁN-TAYIKISTÁN FRONT. REGIÓN
87,22-MAY-2023 04:47:19,-21.23,-68.82,4.1,129,CHILE-BOLIVIA FRONTERA REGIÓN
88,22-MAY-2023 04:45:20,-6.62,129.28,5.2,10,MAR BANDA
89,22-MAY-2023 03:11:53,51.78,178.37,4.4,101,"ISLAS RATA, ALEUTIANAS"
90,22-MAY-2023 03:05:19,19.62,-65.71,4.08,78,REGIÓN DE PUERTO RICO
91,22-MAY-2023 03:00:54,3.13,126.83,4.6,35,"TALAUD ISLAS, INDONESIA"
92,22-MAY-2023 02:45:36,26.9,96.98,5.0,10,MYANMAR
93,22-MAY-2023 00:05:43,-15.86,-73.53,4.3,67,EL SUR DE PERÚ
94,21-MAY-2023 23:44:24,-52.23,139.69,4.8,10,OESTE DE LA ISLA MACQUARIE
95,21-MAY-2023 22:20:04,29.84,129.13,5.5,184,"ISLAS RYUKYU, JAPÓN"
96,21-MAY-2023 21:45:43,35.86,60.55,4.4,10,NORTE Y CENTRAL IRAN
97,21-MAY-2023 21:11:40,-52.16,139.53,5.4,10,OESTE DE LA ISLA MACQUARIE
98,21-MAY-2023 20:54:36,-1.14,120.34,4.7,46,"SULAWESI, INDONESIA"
99,21-MAY-2023 20:16:22,37.92,36.26,4.1,10,TURQUÍA
